,HealthRiskFactorID,CountryID,HealthSystemID,MaleTobaccoUse,FemaleTobaccoUse,IncidenceOfTuberculosis,PrevalenceOfDiabetes
0,1,1,1,,,189.0,9.2
1,2,2,2,51.0,7.0,18.0,9.0
2,3,3,3,30.0,1.0,69.0,6.7
3,4,4,4,,,0.0,
4,5,5,5,38.0,29.0,3.0,7.7
5,6,6,6,,,355.0,4.5
6,7,7,7,,,6.0,13.1
7,8,8,8,28.0,16.0,27.0,5.9
8,9,9,9,52.0,2.0,31.0,6.1
9,10,10,10,,,5.0,11.6
10,11,11,11,17.0,13.0,7.0,5.6
11,12,12,12,31.0,28.0,7.0,6.6
12,13,13,13,43.0,0.0,63.0,6.1
13,14,14,14,20.0,3.0,14.0,8.8
14,15,15,15,38.0,6.0,11.0,15.6
15,16,16,16,45.0,1.0,221.0,9.2
16,17,17,17,15.0,2.0,0.0,13.4
17,18,18,18,46.0,11.0,31.0,5.0
18,19,19,19,31.0,25.0,9.0,4.6
19,20,20,20,,,30.0,17.1
20,21,21,21,12.0,1.0,56.0,1.0
21,22,22,22,,,4.0,6.7
22,23,23,23,,,149.0,10.3
23,24,24,24,,,108.0,6.8
24,25,25,25,48.0,30.0,25.0,9.0
25,26,26,26,34.0,6.0,275.0,5.8
26,27,27,27,18.0,10.0,45.0,10.4
27,28,28,28,31.0,2.0,68.0,13.3
28,29,29,29,44.0,30.0,22.0,6.0
29,30,30,30,24.0,2.0,48.0,7.3
30,31,31,31,,,111.0,5.1
31,32,32,32,17.0,2.0,46.0,2.4
32,33,33,33,34.0,2.0,302.0,6.4
33,34,34,34,,,186.0,6.0
34,35,35,35,17.0,12.0,6.0,7.6
35,36,36,36,,,5.0,6.8
36,37,37,37,,,540.0,6.0
37,38,38,38,,,142.0,6.0
38,39,39,39,,,,3.9
39,40,40,40,42.0,34.0,18.0,8.6
40,41,41,41,48.0,2.0,61.0,9.2
41,42,42,42,,,67.0,4.5
42,43,43,43,,,60.0,4.3
43,44,44,44,14.0,5.0,33.0,7.4
44,45,45,45,24.0,4.0,35.0,12.3
45,46,46,46,,,321.0,6.0
