,DeathID,HealthRiskFactorID,Injuries,NonCommunicableDiseases,CommunicableDiseases
0,1,1,20.0,44.0,36.0
1,2,2,4.0,93.0,3.0
2,3,3,10.0,76.0,15.0
3,4,4,,,
4,5,5,,,
5,6,6,9.0,27.0,63.0
6,7,7,6.0,82.0,12.0
7,8,8,7.0,78.0,16.0
8,9,9,4.0,93.0,3.0
9,10,10,,,
10,11,11,6.0,90.0,5.0
11,12,12,5.0,92.0,3.0
12,13,13,5.0,87.0,9.0
13,14,14,9.0,74.0,17.0
14,15,15,10.0,83.0,7.0
15,16,16,8.0,67.0,26.0
16,17,17,4.0,83.0,13.0
17,18,18,7.0,91.0,3.0
18,19,19,6.0,86.0,8.0
19,20,20,13.0,67.0,19.0
20,21,21,10.0,36.0,54.0
21,22,22,,,
22,23,23,11.0,69.0,21.0
23,24,24,13.0,65.0,22.0
24,25,25,4.0,95.0,2.0
25,26,26,8.0,46.0,46.0
26,27,27,12.0,74.0,14.0
27,28,28,7.0,85.0,8.0
28,29,29,3.0,95.0,2.0
29,30,30,11.0,33.0,56.0
30,31,31,12.0,32.0,56.0
31,32,32,10.0,70.0,20.0
32,33,33,10.0,64.0,26.0
33,34,34,11.0,35.0,54.0
34,35,35,6.0,88.0,6.0
35,36,36,,,
36,37,37,10.0,26.0,64.0
37,38,38,9.0,27.0,63.0
38,39,39,,,
39,40,40,7.0,85.0,8.0
40,41,41,7.0,89.0,4.0
41,42,42,,,
42,43,43,,,
43,44,44,15.0,75.0,10.0
44,45,45,11.0,42.0,47.0
45,46,46,10.0,28.0,62.0
46,47,47,10.0,35.0,56.0
47,48,48,10.0,83.0,6.0
48,49,49,10.0,37.0,52.0
49,50,50,5.0,92.0,2.0
50,51,51,8.0,84.0,8.0
51,52,52,,,
52,53,53,5.0,91.0,4.0
53,54,54,5.0,90.0,5.0
54,55,55,4.0,90.0,7.0
55,56,56,10.0,44.0,45.0
56,57,57,,,
57,58,58,12.0,72.0,16.0
58,59,59,13.0,72.0,15.0
59,60,60,6.0,84.0,10.0
60,61,61,15.0,74.0,11.0
61,62,62,11.0,36.0,53.0
62,63,63,12.0,45.0,43.0
63,64,64,5.0,93.0,3.0
64,65,65,10.0,37.0,54.0
65,66,66,12.0,39.0,49.0
66,67,67,,,
67,68,68,5.0,84.0,10.0
68,69,69,6.0,93.0,1.0
69,70,70,6.0,88.0,6.0
70,71,71,,,
71,72,72,9.0,41.0,50.0
72,73,73,11.0,34.0,55.0
73,74,74,4.0,94.0,3.0
74,75,75,4.0,91.0,5.0
75,76,76,10.0,43.0,48.0
76,77,77,3.0,86.0,11.0
77,78,78,,,
78,79,79,7.0,81.0,12.0
79,80,80,,,
80,81,81,16.0,59.0,25.0
81,82,82,9.0,35.0,56.0
82,83,83,8.0,30.0,62.0
83,84,84,12.0,68.0,20.0
84,85,85,13.0,57.0,30.0
85,86,86,20.0,67.0,14.0
86,87,87,4.0,94.0,2.0
87,88,88,6.0,90.0,4.0
88,89,89,11.0,63.0,26.0
89,90,90,6.0,73.0,21.0
90,91,91,10.0,82.0,8.0
91,92,92,28.0,55.0,17.0
92,93,93,4.0,91.0,5.0
93,94,94,,,
94,95,95,4.0,86.0,10.0
95,96,96,4.0,91.0,5.0
96,97,97,9.0,80.0,11.0
97,98,98,5.0,82.0,13.0
98,99,99,11.0,78.0,11.0
99,100,100,10.0,86.0,5.0
100,101,101,10.0,27.0,63.0
101,102,102,7.0,64.0,29.0
102,103,103,7.0,84.0,10.0
103,104,104,10.0,80.0,10.0
104,105,105,,,
105,106,106,13.0,72.0,15.0
106,107,107,8.0,83.0,10.0
107,108,108,9.0,60.0,31.0
108,109,109,5.0,92.0,3.0
109,110,110,6.0,91.0,4.0
110,111,111,8.0,32.0,59.0
111,112,112,10.0,31.0,59.0
112,113,113,20.0,72.0,8.0
113,114,114,,,
114,115,115,7.0,90.0,4.0
115,116,116,7.0,88.0,5.0
116,117,117,11.0,43.0,46.0
117,118,118,9.0,32.0,60.0
118,119,119,9.0,74.0,18.0
119,120,120,8.0,84.0,8.0
120,121,121,9.0,31.0,61.0
121,122,122,3.0,91.0,6.0
122,123,123,,,
123,124,124,9.0,37.0,53.0
124,125,125,5.0,89.0,7.0
125,126,126,10.0,80.0,10.0
126,127,127,7.0,75.0,19.0
127,128,128,6.0,90.0,4.0
128,129,129,,,
129,130,130,11.0,80.0,10.0
130,131,131,4.0,95.0,1.0
131,132,132,6.0,80.0,14.0
132,133,133,8.0,27.0,65.0
133,134,134,9.0,68.0,24.0
134,135,135,10.0,41.0,49.0
135,136,136,9.0,66.0,25.0
136,137,137,5.0,90.0,5.0
137,138,138,,,
138,139,139,6.0,90.0,5.0
139,140,140,13.0,76.0,11.0
140,141,141,10.0,27.0,63.0
141,142,142,8.0,29.0,63.0
142,143,143,3.0,95.0,2.0
143,144,144,,,
144,145,145,6.0,87.0,7.0
145,146,146,18.0,72.0,11.0
146,147,147,7.0,58.0,35.0
147,148,148,,,
148,149,149,10.0,75.0,16.0
149,150,150,8.0,56.0,36.0
150,151,151,12.0,74.0,14.0
151,152,152,11.0,69.0,20.0
152,153,153,8.0,67.0,25.0
153,154,154,5.0,90.0,5.0
154,155,155,4.0,86.0,10.0
155,156,156,,,
156,157,157,26.0,69.0,5.0
157,158,158,4.0,92.0,4.0
158,159,159,8.0,87.0,5.0
159,160,160,14.0,44.0,42.0
160,161,161,7.0,81.0,12.0
161,162,162,,,
162,163,163,11.0,55.0,34.0
163,164,164,16.0,73.0,11.0
164,165,165,12.0,42.0,46.0
165,166,166,3.0,95.0,2.0
166,167,167,7.0,81.0,12.0
167,168,168,9.0,33.0,58.0
168,169,169,4.0,74.0,23.0
169,170,170,,,
170,171,171,6.0,89.0,5.0
171,172,172,7.0,88.0,5.0
172,173,173,9.0,69.0,22.0
173,174,174,12.0,24.0,64.0
174,175,175,9.0,51.0,40.0
175,176,176,9.0,27.0,63.0
176,177,177,4.0,91.0,5.0
177,178,178,10.0,83.0,8.0
178,179,179,,,
179,180,180,8.0,82.0,10.0
180,181,181,,,
181,182,182,6.0,81.0,13.0
182,183,183,13.0,52.0,35.0
