,IncidenceOfHIV,DeathID,YouthMale,YouthFemale,WomanAge15Plus
0,0.04,1,0.1,0.1,29.0
1,,2,,,
2,0.05,3,0.1,0.1,46.0
3,,4,,,
4,,5,,,
5,1.6,6,0.3,1.2,69.0
6,,7,,,
7,0.3,8,0.1,0.1,32.0
8,0.1,9,0.1,0.1,34.0
9,,10,,,
10,0.08,11,0.1,0.1,12.0
11,,12,,,
12,,13,,,
13,0.8,14,0.6,0.5,44.0
14,,15,,,
15,0.02,16,0.1,0.1,36.0
16,1.1,17,0.3,0.2,34.0
17,0.4,18,0.1,0.1,43.0
18,,19,,,
19,1.3,20,0.8,1.0,47.0
20,0.58,21,0.2,0.4,61.0
21,,22,,,
22,0.2,23,0.1,0.1,30.0
23,0.2,24,0.1,0.1,32.0
24,0.01,25,0.1,0.1,15.0
25,7.4,26,4.9,8.9,57.0
26,,27,,,
27,,28,,,
28,0.1,29,0.1,0.1,22.0
29,0.2,30,0.2,0.4,61.0
30,0.2,31,0.5,0.6,62.0
31,0.3,32,0.1,0.2,54.0
32,0.1,33,0.1,0.1,53.0
33,1.6,34,0.7,1.8,66.0
34,,35,,,
35,,36,,,
36,2.0,37,1.0,1.5,59.0
37,0.6,38,0.5,0.8,57.0
38,,39,,,
39,0.5,40,0.2,0.1,17.0
40,,41,,,
41,,42,,,
42,,43,,,
43,0.2,44,0.1,0.1,20.0
44,0.01,45,0.1,0.1,44.0
45,0.3,46,0.2,0.5,72.0
46,1.6,47,0.5,1.6,67.0
47,0.4,48,0.1,0.1,20.0
48,1.08,49,0.6,1.2,61.0
49,0.04,50,0.1,0.1,11.0
50,0.3,51,0.1,0.1,18.0
51,,52,,,
52,,53,,,
53,0.09,54,0.1,0.1,11.0
54,0.05,55,0.1,0.1,26.0
55,0.8,56,0.4,0.6,58.0
56,,57,,,
57,0.4,58,0.3,0.3,49.0
58,0.2,59,0.1,0.1,30.0
59,0.06,60,0.1,0.1,30.0
60,0.2,61,0.2,0.1,37.0
61,6.2,62,1.8,3.3,52.0
62,0.2,63,0.2,0.3,61.0
63,0.5,64,0.1,0.1,35.0
64,15.4,65,3.1,15.9,63.0
65,0.4,66,0.2,0.4,63.0
66,,67,,,
67,,68,,,
68,0.07,69,0.1,0.1,28.0
69,0.2,70,0.1,0.1,26.0
70,,71,,,
71,1.5,72,0.5,1.9,69.0
72,1.8,73,0.2,0.6,61.0
73,0.3,74,0.1,0.1,32.0
74,0.06,75,0.1,0.1,20.0
75,1.1,76,0.4,1.0,67.0
76,,77,,,
77,,78,,,
78,,79,,,
79,,80,,,
80,0.2,81,0.1,0.1,43.0
81,0.8,82,0.3,0.8,62.0
82,2.0,83,0.9,1.4,61.0
83,0.8,84,0.3,0.4,48.0
84,1.1,85,0.5,1.1,58.0
85,0.1,86,0.2,0.1,40.0
86,0.04,87,0.1,0.1,16.0
87,0.1,88,0.1,0.1,26.0
88,,89,,,
89,0.3,90,0.3,0.2,36.0
90,0.08,91,0.1,0.1,25.0
91,,92,,,
92,0.1,93,0.1,0.1,34.0
93,,94,,,
94,0.1,95,0.1,0.1,25.0
95,0.1,96,0.1,0.1,30.0
96,1.4,97,0.5,0.3,37.0
97,0.02,98,0.1,0.1,10.0
98,0.01,99,0.1,0.1,17.0
99,0.2,100,0.1,0.1,37.0
100,1.62,101,1.5,2.5,63.0
101,,102,,,
102,,103,,,
103,,104,,,
104,,105,,,
105,0.06,106,0.1,0.1,29.0
106,0.2,107,0.1,0.1,34.0
107,0.1,108,0.1,0.1,45.0
108,0.4,109,0.1,0.1,31.0
109,0.04,110,0.1,0.1,16.0
110,13.4,111,4.1,10.8,59.0
111,0.6,112,0.4,0.8,62.0
112,0.1,113,0.1,0.1,30.0
113,,114,,,
114,,115,,,
115,0.2,116,0.1,0.1,28.0
116,0.4,117,0.2,0.1,31.0
117,4.4,118,2.0,4.3,60.0
118,0.31,119,0.3,0.1,17.0
119,,120,,,
120,1.3,121,0.4,1.0,64.0
121,,122,,,
122,,123,,,
123,0.05,124,0.1,0.1,39.0
124,1.2,125,0.2,0.2,31.0
125,0.14,126,0.1,0.1,16.0
126,,127,,,
127,0.44,128,0.1,0.1,40.0
128,,129,,,
129,0.02,130,0.1,0.1,19.0
130,0.14,131,0.1,0.1,12.0
131,0.04,132,0.1,0.1,42.0
132,10.1,133,3.0,7.2,61.0
133,0.3,134,0.4,0.3,38.0
134,4.9,135,2.6,4.5,60.0
135,0.05,136,0.1,0.1,40.0
136,0.05,137,0.1,0.1,17.0
137,,138,,,
138,0.06,139,0.1,0.1,16.0
139,0.1,140,0.1,0.1,33.0
140,0.1,141,0.1,0.1,51.0
141,1.02,142,0.5,0.8,57.0
142,0.04,143,0.1,0.1,12.0
143,,144,,,
144,0.04,145,0.1,0.1,28.0
145,0.1,146,0.1,0.1,30.0
146,0.2,147,0.1,0.1,30.0
147,,148,,,
148,0.6,149,0.2,0.1,30.0
149,0.4,150,0.2,0.3,58.0
150,0.3,151,0.2,0.2,31.0
151,0.2,152,0.1,0.1,23.0
152,0.24,153,0.3,0.1,6.0
153,,154,,,
154,0.1,155,0.1,0.1,29.0
155,,156,,,
156,,157,,,
157,0.1,158,0.1,0.1,36.0
158,,159,,,
159,0.5,160,0.5,0.9,62.0
160,,161,,,
161,,162,,,
162,,163,,,
163,,164,,,
164,0.1,165,0.1,0.2,67.0
165,0.04,166,0.1,0.1,16.0
166,,167,,,
167,0.9,168,0.5,1.1,61.0
168,0.07,169,0.1,0.1,10.0
169,,170,,,
170,0.04,171,0.1,0.1,14.0
171,,172,,,
172,,173,,,
173,0.04,174,0.1,0.1,59.0
174,8.7,175,3.7,11.3,62.0
175,2.6,176,0.7,1.2,59.0
176,0.13,177,0.1,0.1,18.0
177,0.01,178,0.1,0.1,30.0
178,,179,,,
179,,180,,,
180,,181,,,
181,,182,,,
182,0.2,183,0.1,0.1,47.0
183,0.8,184,0.3,0.3,43.0
184,,185,,,
185,,186,,,
186,0.01,187,0.1,0.1,31.0
187,0.2,188,0.1,0.1,28.0
188,2.5,189,1.2,2.2,60.0
189,0.2,190,0.3,0.2,44.0
190,,191,,,
191,1.06,192,0.5,1.0,64.0
192,,193,,,
193,,194,,,
194,0.04,195,0.1,0.1,33.0
195,,196,,,
196,,197,,,
197,,198,,,
198,,199,,,
199,2.6,200,1.1,2.8,60.0
200,0.6,201,0.1,0.1,37.0
201,,202,,,
202,,203,,,29.0
203,,204,,,
204,0.5,205,0.2,0.1,29.0
205,0.2,206,0.1,0.1,34.0
206,,207,,,
207,,208,,,34.0
208,0.1,209,0.1,0.1,33.0
209,,210,,,
210,,211,,,
211,0.07,212,0.1,0.1,22.0
212,5.67,213,2.4,5.0,59.0
213,4.86,214,3.2,5.7,60.0
